LN_Ra_,LN_St_,LN_Re_,LN_LbyD_,LN_Fo_,LN_MF_
19.85056914,1.609437912,7.783224016,0,-0.62986014,-1.491654877
19.85056914,1.609437912,7.783224016,0,-0.622128143,-1.46967597
19.85056914,1.609437912,7.783224016,0,-0.614557387,-1.448169765
19.85056914,1.609437912,7.783224016,0,-0.60714468,-1.427116356
19.85056914,1.609437912,7.783224016,0,-0.599836732,-1.406497068
19.85056914,1.609437912,7.783224016,0,-0.592681514,-1.386294361
19.85056914,1.609437912,7.783224016,0,-0.585676145,-1.366491734
19.85056914,1.609437912,7.783224016,0,-0.578719509,-1.347073648
19.85056914,1.609437912,7.783224016,0,-0.571957429,-1.328025453
19.85056914,1.609437912,7.783224016,0,-0.565240768,-1.30933332
19.85056914,1.609437912,7.783224016,0,-0.558665296,-1.290984181
19.85056914,1.609437912,7.783224016,0,-0.552180656,-1.272965676
19.85056914,1.609437912,7.783224016,0,-0.545785369,-1.255266099
19.85056914,1.609437912,7.783224016,0,-0.539525271,-1.237874356
19.85056914,1.609437912,7.783224016,0,-0.533304118,-1.220779923
19.85056914,1.609437912,7.783224016,0,-0.527168123,-1.203972804
19.85056914,1.609437912,7.783224016,0,-0.521162379,-1.187443502
19.85056914,1.609437912,7.783224016,0,-0.515192488,-1.171182982
19.85056914,1.609437912,7.783224016,0,-0.509303894,-1.15518264
19.85056914,1.609437912,7.783224016,0,-0.50354098,-1.139434283
19.85056914,1.609437912,7.783224016,0,-0.497811087,-1.123930097
19.85056914,1.609437912,7.783224016,0,-0.492113839,-1.108662625
19.85056914,1.609437912,7.783224016,0,-0.486538536,-1.093624747
19.85056914,1.609437912,7.783224016,0,-0.480994144,-1.078809661
19.85056914,1.609437912,7.783224016,0,-0.475524668,-1.064210862
19.85056914,1.609437912,7.783224016,0,-0.470129051,-1.049822124
19.85056914,1.609437912,7.783224016,0,-0.464806263,-1.03563749
19.85056914,1.609437912,7.783224016,0,-0.459511657,-1.021651248
19.85056914,1.609437912,7.783224016,0,-0.454288349,-1.007857925
19.85056914,1.609437912,7.783224016,0,-0.449092183,-0.994252273
19.85056914,1.609437912,7.783224016,0,-0.443965844,-0.980829253
19.85056914,1.609437912,7.783224016,0,-0.438908401,-0.967584026
19.85056914,1.609437912,7.783224016,0,-0.433876408,-0.954511945
19.85056914,1.609437912,7.783224016,0,-0.428911934,-0.94160854
19.85056914,1.609437912,7.783224016,0,-0.423971984,-0.928869514
19.85056914,1.609437912,7.783224016,0,-0.41909823,-0.916290732
19.85056914,1.609437912,7.783224016,0,-0.414248114,-0.903868212
19.85056914,1.609437912,7.783224016,0,-0.409462918,-0.891598119
19.85056914,1.609437912,7.783224016,0,-0.404741826,-0.879476759
19.85056914,1.609437912,7.783224016,0,-0.400042918,-0.867500568
19.85056914,1.609437912,7.783224016,0,-0.395365986,-0.85566611
19.85056914,1.609437912,7.783224016,0,-0.390751567,-0.84397007
19.85056914,1.609437912,7.783224016,0,-0.386158343,-0.832409248
19.85056914,1.609437912,7.783224016,0,-0.381626491,-0.820980552
19.85056914,1.609437912,7.783224016,0,-0.377115084,-0.809680997
19.85056914,1.609437912,7.783224016,0,-0.372623938,-0.798507696
19.85056914,1.609437912,7.783224016,0,-0.368192705,-0.78745786
19.85056914,1.609437912,7.783224016,0,-0.363781021,-0.776528789
19.85056914,1.609437912,7.783224016,0,-0.359428198,-0.765717873
19.85056914,1.609437912,7.783224016,0,-0.355094241,-0.755022584
19.85056914,1.609437912,7.783224016,0,-0.350778986,-0.744440475
19.85056914,1.609437912,7.783224016,0,-0.34652125,-0.733969175
19.85056914,1.609437912,7.783224016,0,-0.342281566,-0.723606388
19.85056914,1.609437912,7.783224016,0,-0.33805978,-0.713349888
19.85056914,1.609437912,7.783224016,0,-0.333855744,-0.703197516
19.85056914,1.609437912,7.783224016,0,-0.329669307,-0.693147181
19.85056914,1.609437912,7.783224016,0,-0.325500324,-0.68319685
19.85056914,1.609437912,7.783224016,0,-0.321348648,-0.673344553
19.85056914,1.609437912,7.783224016,0,-0.317176286,-0.663588378
